source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
19	MobiLipid	Ion Mobility MS		https://github.com/FelinaHildebrand/MobiLipid	https://pubs.acs.org/doi/10.1021/acs.analchem.4c01253	2024	R	quality_control	platform_independent	lipidomics	r_package	workflow_pipeline	ion_mobility_platform_dimension
20	QuantyFey	Quality Control		https://github.com/CDLMarkus/QuantyFey	https://doi.org/10.1016/j.aca.2025.344571	2025	R	quality_control	lc_ms		r_package	programming_package	
35	FluoroMatch IM	Exposomics		https://fluoromatch.com	https://academic.oup.com/exposome/article/2/1/osac006/6674510	2022	R	quality_control	platform_independent	exposomics	r_package	programming_package	
58	Rapid QC-MS	Quality Control		https://github.com/czbiohub-sf/Rapid-QC-MS	https://pubs.acs.org/doi/10.1021/acs.analchem.4c00786	2024	Python, CSS	quality_control	lc_ms	untargeted	python_package	workflow_pipeline	
75	WaveICA 2.0	Quality Control		https://github.com/dengkuistat/WaveICA_2.0	https://link.springer.com/article/10.1007/s11306-021-01839-7	2021	R	quality_control	lc_ms	untargeted	r_package	programming_package	
100	LORA	Lipidomics		https://github.com/lifs-tools/lipidspace, https://lora.metabolomics.fgu.cas.cz/	https://pubs.acs.org/doi/10.1021/acs.analchem.3c02039	2023	C++, C, CSS, Python, Webserver	quality_control	platform_independent	lipidomics	web_app;python_package	web_service	
132	Regularized Adversarial Learning Preserving Similarity (RALPS)	Quality Control		https://github.com/zamboni-lab/RALPS	https://academic.oup.com/bioinformatics/article/39/3/btad096/7056639	2023	Python, R	quality_control	platform_independent	untargeted	python_package;r_package	programming_package	
140	MatrixQCvis	Quality Control		https://bioconductor.org/packages/MatrixQCvis/	https://www.biorxiv.org/content/10.1101/2021.06.17.448827v1	2021	R	quality_control	platform_independent		r_package	workflow_pipeline	
142	Msquality	Quality Control		https://bioconductor.org/packages/MsQuality	https://academic.oup.com/bioinformatics/article/39/10/btad618/7301439	2023	R	quality_control	platform_independent		r_package	workflow_pipeline	
146	HT SpaceM	Imaging MS		https://github.com/delafior/HT-SpaceM	https://www.cell.com/cell/S0092-8674(25)00929-8	2025	Python	quality_control	imaging_ms;lc_ms;maldi_ms		python_package	programming_package	
168	ALISTER	Quality Control		https://itmp.shinyapps.io/alister/; https://github.com/Fraunhofer-ITMP/alister	https://www.sciencedirect.com/science/article/pii/S0009898124000998	2024	R	quality_control	platform_independent	lipidomics	web_app;r_package	database_knowledgebase	
275	Omics Untargeted Key Script	Organism specific		https://github.com/plyush1993/OUKS	https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00392	2021	R	quality_control	lc_ms	untargeted	r_package	database_knowledgebase	
